chemsys,mp_id,formula,mp_form_energy,mp_e_above_hull,mp_on_hull,MatterSim_form_energy,MatterSim_e_above_hull,MatterSim_on_hull,change
Gd-Zn,mp-11421,Gd,0.0876,0.0876,False,0.069435,0.069435,False,
Gd-Zn,mp-1184460,Gd3Zn,-0.069491,0.11303,False,-0.136445,0.0,True,GAINED
Gd-Zn,mp-1187812,Zn,0.01085,0.01085,False,0.001415,0.001415,False,
Gd-Zn,mp-1193017,Gd6Zn23,-0.308785,0.004499,False,0.692372,0.766574,False,
Gd-Zn,mp-1198632,Gd2Zn17,-0.245733,0.005135,False,0.288207,0.325959,False,
Gd-Zn,mp-1244987,Zn,0.058375,0.058375,False,0.050654,0.050654,False,
Gd-Zn,mp-1245093,Zn,0.055069,0.055069,False,0.051379,0.051379,False,
Gd-Zn,mp-1245184,Zn,0.048852,0.048852,False,0.049276,0.049276,False,
Gd-Zn,mp-1245266,Zn,0.052316,0.052316,False,0.051876,0.051876,False,
Gd-Zn,mp-155,Gd,0.0,0.0,True,0.0,0.0,True,
Gd-Zn,mp-19981,Gd,0.030212,0.030212,False,6e-06,6e-06,True,GAINED
Gd-Zn,mp-2497,GdZn,-0.365043,0.0,True,-0.179322,0.0,True,
Gd-Zn,mp-2646972,Zn,0.005205,0.005205,False,0.004172,0.004172,False,
Gd-Zn,mp-2647117,Zn,0.071662,0.071662,False,0.046178,0.046178,False,
Gd-Zn,mp-542437,Gd2Zn17,-0.250868,0.0,True,0.287944,0.325696,False,LOST
Gd-Zn,mp-570087,Gd,0.020306,0.020306,False,8e-06,8e-06,True,GAINED
Gd-Zn,mp-614502,Gd,0.048381,0.048381,False,1.5e-05,1.5e-05,True,GAINED
Gd-Zn,mp-79,Zn,0.0,0.0,True,0.0,0.0,True,
Mn-Y,mp-1055908,Mn,0.145445,0.145445,False,0.08316,0.08316,False,
Mn-Y,mp-1057139,Mn,0.65752,0.65752,False,0.672051,0.672051,False,
Mn-Y,mp-1062072,YMn2,0.751583,0.752599,False,0.669363,0.669363,False,
Mn-Y,mp-1103127,YMn2,0.104739,0.105755,False,0.120578,0.120578,False,
Mn-Y,mp-112,Y,0.00355,0.00355,False,5e-06,5e-06,True,GAINED
Mn-Y,mp-1187717,Y,0.006933,0.006933,False,3e-06,3e-06,True,GAINED
Mn-Y,mp-1187739,Y,0.0,0.0,True,3e-06,3e-06,True,
Mn-Y,mp-1191484,Mn,0.806585,0.806585,False,0.862849,0.862849,False,
Mn-Y,mp-1355,Y6Mn23,0.096445,0.097653,False,0.036579,0.036579,False,
Mn-Y,mp-22508,YMn12,-0.001407,0.0,True,0.004868,0.004868,False,LOST
Mn-Y,mp-2647025,Mn,0.052632,0.052632,False,0.046323,0.046323,False,
Mn-Y,mp-35,Mn,0.0,0.0,True,0.0,0.0,True,
Mn-Y,mp-542909,Mn,0.052947,0.052947,False,0.036828,0.036828,False,
Mn-Y,mp-558,YMn2,0.160752,0.161768,False,0.126705,0.126705,False,
Mn-Y,mp-8634,Mn,0.083098,0.083098,False,0.055075,0.055075,False,
Mn-Y,mp-9,Y,0.023963,0.023963,False,0.0,0.0,True,GAINED
Ni-Ti,mp-1008728,Ni,0.09556,0.09556,False,0.088269,0.088269,False,
Ni-Ti,mp-1014111,Ni,0.620239,0.620239,False,0.586471,0.586471,False,
Ni-Ti,mp-10257,Ni,0.026142,0.026142,False,0.003315,0.003315,False,
Ni-Ti,mp-1048,TiNi,-0.395855,0.0,True,-0.399791,0.011103,False,LOST
Ni-Ti,mp-1067248,TiNi,-0.393848,0.002007,False,-0.399775,0.011118,False,
